"Tray","Range","Plot","Rep","Entry","Spike_image_number","Anther_image_number","Awn_or_awnless","Reps_matching","Variety","Days_to_heading","Date_of_anther_sampling","Number_of_heads_for_yield_comps","Number_of_heads_for_anthers","Number_of_heads_for_spikelets","Weight_g","Number_of_seeds","Spikelets_per_image","Number_of_anthers","Area_of_anthers_per_spike","Number_of_anthers_per_spike","Area_per_anther","Area_per_spike","Thousand_kernel_weight","Kernels_per_spike","Spikelets_per_spike"
8,10,597,1,"HG18406","IMG-0406.JPG",NA,0,1,"TX13D5169",119,NA,10,NA,6,19.5,548,109,NA,NA,NA,NA,744.8396667,35.5839416058394,54.8,18.1666666666667
8,12,605,1,"HG18161","IMG-0407.JPG","DSC-0543.JPG",1,1,"GA05304-12E35",117,121,10,4,6,13.6,347,102,34,3.7,8.5,0.435294117647059,1021.5845,39.193083573487,34.7,17
5,13,372,1,"HG18577","IMG-0408.JPG","DSC-0109.JPG",1,0,"NC14-23202",118,120,10,4,6,12.6,304,99,53,5.56,13.25,0.419622641509434,722.2815,41.4473684210526,30.4,16.5
4,4,256,1,"HG18084","IMG-0413.JPG",NA,1,1,"ARLA07084C-10-1",NA,NA,10,NA,6,19.3,570,123,NA,NA,NA,NA,1125.081,33.859649122807,57,20.5
4,6,263,1,"HG18018","IMG-0414.JPG","DSC-0478.JPG",1,1,"AR04008-5",117,121,10,4,6,15.6,433,81,21,2.41,5.25,0.459047619047619,1055.527,36.027713625866,43.3,13.5
4,8,270,1,"HG18169","IMG-0415.JPG",NA,1,1,"GA061471-LE38",121,NA,10,NA,6,13.8,390,119,NA,NA,NA,NA,1075.738,35.3846153846154,39,19.8333333333333
4,11,281,1,"HG18126","IMG-0416.JPG","DSC-0790.JPG",1,1,"GA011636-2",120,123,10,4,6,20.9,562,122,68,8.75,17,0.514705882352941,1352.057833,37.1886120996441,56.2,20.3333333333333
4,7,268,1,"HG18425","IMG-0417.JPG",NA,1,1,"TX14D8343",NA,NA,7,NA,6,6.9,233,125,NA,NA,NA,NA,1441.643,29.6137339055794,33.2857142857143,20.8333333333333
3,15,217,1,"HG18356","IMG-0418.JPG","DSC-0116.JPG",1,1,"NC13-21445",117,120,11,4,6,18.5,507,111,42,3.65,10.5,0.347619047619048,928.0583333,36.4891518737673,46.0909090909091,18.5
3,14,214,1,"HG18026","IMG-0419.JPG",NA,1,1,"AR05009-12-1",119,NA,10,NA,6,17.8,577,129,NA,NA,NA,NA,1485.111833,30.8492201039861,57.7,21.5
4,7,266,1,"HG18573","IMG-0420.JPG",NA,1,0,"NC14-21028",121,NA,10,NA,6,10.8,332,119,NA,NA,NA,NA,614.8261667,32.5301204819277,33.2,19.8333333333333
5,20,400,1,"HG18077","IMG-0421.JPG",NA,1,1,"ARGA06473-9-4-4",122,NA,11,NA,6,14.9,450,101,NA,NA,NA,NA,628.0805,33.1111111111111,40.9090909090909,16.8333333333333
5,12,366,1,"HG18068","IMG-0422.JPG","DSC-0216.JPG",0,1,"AR99138-7-1",118,119,10,4,6,16.1,508,124,68,4.67,17,0.274705882352941,619.6056667,31.6929133858268,50.8,20.6666666666667
3,15,218,1,"HG18323","IMG-0423.JPG",NA,0,1,"NC10-22614",120,NA,10,NA,6,15.6,449,126,NA,NA,NA,NA,773.3483333,34.7438752783964,44.9,21
3,14,213,1,"HG18588","IMG-0424.JPG","DSC-0345.JPG",1,1,"TX15D9570",117,121,10,4,6,17,537,119,48,3.8,12,0.316666666666667,949.3845,31.6573556797021,53.7,19.8333333333333
4,15,298,1,"HG18203","IMG-0425.JPG",NA,1,1,"LA01110C-J10",121,NA,10,NA,6,19.1,495,118,NA,NA,NA,NA,1219.681833,38.5858585858586,49.5,19.6666666666667
5,5,339,1,"HG18311","IMG-0426.JPG",NA,0,1,"NC08-23383",119,NA,10,NA,6,18.1,525,111,NA,NA,NA,NA,753.8168333,34.4761904761905,52.5,18.5
4,11,283,1,"HG18392","IMG-0427.JPG","DSC-0120.JPG",0,0,"TX12D4741",117,120,10,4,6,11.7,390,105,84,9.84,21,0.468571428571429,682.3938333,30,39,17.5
4,12,285,1,"HG18167","IMG-0428.JPG",NA,1,1,"GA061158-14LE11",119,NA,10,NA,6,21.3,654,120,NA,NA,NA,NA,1287.694167,32.5688073394495,65.4,20
4,14,295,1,"HG18097","IMG-0429.JPG","DSC-0088.JPG",1,1,"FLLA09061C-8",116,119,10,4,6,17.3,459,103,92,9.68,23,0.420869565217391,1357.706333,37.6906318082789,45.9,17.1666666666667
4,12,287,1,"HG18478","IMG-0430.JPG","DSC-0495.JPG",1,1,"FLLA10191C-13",116,121,10,4,6,12,339,106,56,5.83,14,0.416428571428571,1304.904667,35.3982300884956,33.9,17.6666666666667
4,10,279,1,"HG18429","IMG-0431.JPG","DSC-0087.JPG",1,1,"TX14D8488",117,119,10,4,6,17,423,112,84,10.15,21,0.483333333333333,1054.639,40.1891252955083,42.3,18.6666666666667
5,5,340,1,"HG18248","IMG-0432.JPG",NA,1,1,"LA06036E-P04",NA,NA,10,NA,6,19.9,581,119,NA,NA,NA,NA,1416.964333,34.2512908777969,58.1,19.8333333333333
3,17,227,1,"HG18114","IMG-0433.JPG","DSC-0365.JPG",1,1,"GA001142-9E23",118,121,11,4,6,16.7,496,106,72,7.95,18,0.441666666666667,1131.230833,33.6693548387097,45.0909090909091,17.6666666666667
4,3,251,1,"HG18581","IMG-0434.JPG","DSC-0083.JPG",1,0,"TX15D9300",116,119,10,4,6,13.7,330,100,92,NA,23,NA,1034.219667,41.5151515151515,33,16.6666666666667
5,4,336,1,"HG18379","IMG-0435.JPG","DSC-0194.JPG",0,1,"SCTX98-20-J10",116,119,10,4,6,16.5,526,122,44,4.41,11,0.400909090909091,662.9303333,31.3688212927757,52.6,20.3333333333333
3,13,212,1,"HG18275","IMG-0436.JPG",NA,1,1,"LA09202C-34",120,NA,10,NA,6,16.6,485,97,NA,NA,NA,NA,918.5188333,34.2268041237113,48.5,16.1666666666667
4,7,265,1,"HG18473","IMG-0437.JPG","DSC-0112.JPG",0,1,"DH11SRW061-16",117,120,10,4,6,15.9,469,104,128,12.18,32,0.380625,615.4956667,33.9019189765458,46.9,17.3333333333333
4,8,271,1,"HG18010","IMG-0438.JPG","DSC-0479.JPG",1,1,"AR00380-3-3",118,121,10,4,6,13,381,120,31,2.99,7.75,0.385806451612903,874.586,34.1207349081365,38.1,20
4,9,274,1,"HG18165","IMG-0439.JPG",NA,1,1,"GA061096-14E3",120,NA,10,NA,6,17.3,422,111,NA,NA,NA,NA,839.176,40.9952606635071,42.2,18.5
4,14,296,1,"HG18442","IMG-0440.JPG","DSC-0487.JPG",0,1,"VA09W-45",117,121,10,4,6,20.8,731,124,21,1.93,5.25,0.367619047619048,628.2413333,28.4541723666211,73.1,20.6666666666667
3,16,223,1,"HG18358","IMG-0441.JPG","DSC-0079.JPG",0,1,"NC13-22836",116,119,10,4,6,14.5,359,112,153,21,38.25,0.549019607843137,781.5895,40.3899721448468,35.9,18.6666666666667
4,10,280,1,"HG18218","IMG-0442.JPG","DSC-0507.JPG",1,1,"LA01164D-43-7-B",118,121,10,4,6,11.7,414,108,58,3.52,14.5,0.242758620689655,975.2893333,28.2608695652174,41.4,18
5,6,341,1,"HG18299","IMG-0443.JPG",NA,1,1,"NC07-20850",118,NA,10,NA,6,17.5,528,107,NA,NA,NA,NA,1314.633667,33.1439393939394,52.8,17.8333333333333
3,13,211,1,"HG18324","IMG-0444.JPG","DSC-0074.JPG",0,1,"NC10-22642",118,119,10,4,6,15.4,427,113,59,5.96,14.75,0.40406779661017,703.1251667,36.0655737704918,42.7,18.8333333333333
4,13,289,1,"HG18128","IMG-0445.JPG","DSC-0480.JPG",1,1,"GA021245-9E16",118,121,10,4,6,21.2,670,111,39,4.31,9.75,0.442051282051282,822.9548333,31.6417910447761,67,18.5
4,15,299,1,"HG18243","IMG-0446.JPG","DSC-0488.JPG",1,1,"LA05145D-16",117,121,10,4,6,16.4,490,112,35,3.77,8.75,0.430857142857143,1130.606833,33.469387755102,49,18.6666666666667
4,14,294,1,"HG18484","IMG-0447.JPG","DSC-0774.JPG",1,1,"GA081113-15E8",120,123,11,4,6,13.6,459,101,59,8.37,14.75,0.567457627118644,1390.837167,29.6296296296296,41.7272727272727,16.8333333333333
4,17,305,1,"HG18257","IMG-0448.JPG",NA,1,1,"LA07178C-44",120,NA,10,NA,6,20,608,112,NA,NA,NA,NA,1306.350167,32.8947368421053,60.8,18.6666666666667
4,19,314,1,"HG18085","IMG-0449.JPG","DSC-0110.JPG",1,1,"ARLA07133C-19-4",116,120,10,4,6,17.8,489,103,76,6.43,19,0.338421052631579,1397.998,36.40081799591,48.9,17.1666666666667
4,18,310,1,"HG18184","IMG-0450.JPG","DSC-0783.JPG",1,1,"GA07353-14E19",120,123,10,4,6,18.7,486,112,122,16.55,30.5,0.542622950819672,1265.626667,38.477366255144,48.6,18.6666666666667
4,17,307,1,"HG18261","IMG-0451.JPG","DSC-0494.JPG",1,1,"LA08096C-P10",118,121,11,4,6,18.8,514,112,39,4.06,9.75,0.416410256410256,1324.665,36.5758754863813,46.7272727272727,18.6666666666667
4,18,311,1,"HG18490","IMG-0452.JPG","DSC-0085.JPG",1,1,"LA12080DH-74",116,119,10,4,6,15.6,386,105,86,10.56,21.5,0.491162790697674,1041.508333,40.4145077720207,38.6,17.5
4,18,312,1,"HG18393","IMG-0453.JPG","DSC-0500.JPG",1,1,"TX12D4788",117,121,9,4,6,15.1,403,115,21,2.8,5.25,0.533333333333333,1241.1195,37.4689826302729,44.7777777777778,19.1666666666667
4,11,284,1,"HG18340","IMG-0455.JPG",NA,0,1,"NC11-23084",121,NA,10,NA,6,11,341,115,NA,NA,NA,NA,842.0248333,32.258064516129,34.1,19.1666666666667
5,1,323,1,"Check","IMG-0456.JPG","DSC-0202.JPG",1,1,"Jamestown",116,119,10,4,6,12.7,365,111,99,9.31,24.75,0.376161616161616,1659.006667,34.7945205479452,36.5,18.5
4,5,258,1,"HG18333","IMG-0457.JPG","DSC-0086.JPG",1,1,"NC11-21307",116,119,10,4,6,13,349,100,85,5.14,21.25,0.241882352941176,685.751,37.2492836676218,34.9,16.6666666666667
5,4,334,1,"HG18055","IMG-0458.JPG","DSC-0503.JPG",0,1,"AR99009-3-2",118,121,10,4,6,14.5,416,118,42,5.75,10.5,0.547619047619048,829.7836667,34.8557692307692,41.6,19.6666666666667
5,7,346,1,"HG18210","IMG-0459.JPG","DSC-0314.JPG",1,1,"LA01110D-84-1-C",117,121,11,4,6,17.6,483,115,54,6.01,13.5,0.445185185185185,1679.7305,36.4389233954451,43.9090909090909,19.1666666666667
5,6,344,1,"HG18519","IMG-0460.JPG",NA,1,1,"ARLW08239D-14-2",119,NA,10,NA,6,26.8,604,120,NA,NA,NA,NA,1374.985333,44.3708609271523,60.4,20
5,8,350,1,"HG18529","IMG-0461.JPG","DSC-0469.JPG",1,1,"FLLA11016DH-25",117,121,9,4,6,15.3,459,116,21,2.29,5.25,0.436190476190476,1300.240833,33.3333333333333,51,19.3333333333333
5,4,333,1,"HG18022","IMG-0462.JPG",NA,1,1,"AR04029-4",118,NA,10,NA,6,11.6,365,108,NA,NA,NA,NA,2281.515333,31.7808219178082,36.5,18
4,16,302,1,"HG18482","IMG-0463.JPG","DSC-0771.JPG",1,1,"GA06283-15LE25",120,123,12,4,6,24.1,528,100,72,8.69,18,0.482777777777778,863.166,45.6439393939394,44,16.6666666666667
4,18,309,1,"HG18385","IMG-0464.JPG",NA,0,1,"SCW990022A1",NA,NA,5,NA,6,6.1,210,108,NA,NA,NA,NA,658.357,29.047619047619,42,18
5,1,322,1,"Check","IMG-0465.JPG",NA,0,1,"SS8641",119,NA,10,NA,6,18.8,553,115,NA,NA,NA,NA,757.8746667,33.996383363472,55.3,19.1666666666667
4,19,316,1,"HG18187","IMG-0466.JPG","DSC-0084.JPG",1,1,"GA081113-EL8",116,119,10,4,6,15.8,406,96,125,13.21,31.25,0.42272,1202.326667,38.9162561576355,40.6,16
4,20,319,1,"HG18538","IMG-0467.JPG",NA,1,1,"GA081298-16LE1",121,NA,10,NA,6,14.1,401,117,NA,NA,NA,NA,1362.341167,35.1620947630923,40.1,19.5
5,4,335,1,"HG18456","IMG-0468.JPG","DSC-0205.JPG",1,1,"VA11W-313",116,119,10,4,6,16.7,443,81,138,17.64,34.5,0.511304347826087,938.763,37.6975169300226,44.3,13.5
5,3,330,1,"HG18397","IMG-0469.JPG","DSC-0195.JPG",1,1,"TX12D4860",116,119,10,4,6,17.1,429,104,92,12.12,23,0.52695652173913,910.2748333,39.8601398601399,42.9,17.3333333333333
5,3,332,1,"HG18318","IMG-0470.JPG","DSC-0504.JPG",0,1,"NC10034-11",117,121,10,4,6,14.1,485,114,47,5.53,11.75,0.47063829787234,752.254,29.0721649484536,48.5,19
4,7,267,1,"HG18004","IMG-0471.JPG","DSC-0113.JPG",0,1,"AR00082-13-2",117,120,10,4,6,14.4,423,108,87,4.98,21.75,0.228965517241379,689.2926667,34.0425531914894,42.3,18
5,1,321,1,"Check","IMG-0472.JPG","DSC-0497.JPG",1,1,"AGS2055",118,121,10,4,6,18.1,499,110,72,9.09,18,0.505,1102.275667,36.2725450901804,49.9,18.3333333333333
4,10,277,1,"HG18488","IMG-0473.JPG",NA,1,1,"LA09225C-33-1",118,NA,11,NA,6,16.9,429,113,NA,NA,NA,NA,1159.1135,39.3939393939394,39,18.8333333333333
4,19,315,1,"HG18140","IMG-0475.JPG",NA,1,1,"GA03185-12LE29",121,NA,10,NA,6,17,411,110,NA,NA,NA,NA,1099.569667,41.3625304136253,41.1,18.3333333333333
4,2,246,1,"HG18326","IMG-0476.JPG","DSC-0361.JPG",1,1,"NC10-23663",118,121,10,4,6,13.6,335,110,36,3.71,9,0.412222222222222,1161.44,40.5970149253731,33.5,18.3333333333333
4,20,317,1,"HG18310","IMG-0477.JPG",NA,0,1,"NC08-23324",NA,NA,2,NA,6,3.2,90,110,NA,NA,NA,NA,847.232,35.5555555555556,45,18.3333333333333
5,6,343,1,"HG18251","IMG-0478.JPG","DSC-0768.JPG",1,1,"LA06146E-P4",120,123,10,4,6,12.9,425,100,90,12.35,22.5,0.548888888888889,726.7001667,30.3529411764706,42.5,16.6666666666667
5,5,338,1,"HG18495","IMG-0479.JPG","DSC-0501.JPG",1,1,"NC13-23449",117,121,10,4,6,15.4,519,104,42,3.06,10.5,0.291428571428571,1229.665833,29.6724470134875,51.9,17.3333333333333
5,5,337,1,"HG18119","IMG-0480.JPG","DSC-0207.JPG",1,1,"GA00190-7A14",116,119,10,4,6,22.8,524,94,35,5.42,8.75,0.619428571428571,871.4598333,43.5114503816794,52.4,15.6666666666667
4,11,282,1,"HG18256","IMG-0481.JPG",NA,1,1,"LA07128C-91",119,NA,10,NA,6,18.1,527,114,NA,NA,NA,NA,970.9326667,34.3453510436433,52.7,19
5,2,325,1,"HG18361","IMG-0482.JPG","DSC-0225.JPG",1,1,"NC8248-1",116,119,10,4,6,18.9,451,102,134,15.36,33.5,0.458507462686567,1004.642167,41.9068736141907,45.1,17
4,5,259,1,"HG18180","IMG-0483.JPG","DSC-0492.JPG",0,1,"GA07169-14LE24",118,121,11,4,6,17.6,450,112,53,5.21,13.25,0.393207547169811,670.1295,39.1111111111111,40.9090909090909,18.6666666666667
4,1,244,1,"Check","IMG-0484.JPG","DSC-0180.JPG",1,1,"Hilliard",116,119,10,4,6,15.3,393,90,70,7.19,17.5,0.410857142857143,844.108,38.9312977099237,39.3,15
5,8,349,1,"HG18267","IMG-0485.JPG",NA,1,1,"LA08240C-23",120,NA,10,NA,6,17.4,447,119,NA,NA,NA,NA,1211.841333,38.9261744966443,44.7,19.8333333333333
5,6,342,1,"HG18151","IMG-0486.JPG","DSC-0505.JPG",1,1,"GA04417-12E33",116,121,10,4,6,22.7,671,104,15,2.06,3.75,0.549333333333333,1814.442667,33.8301043219076,67.1,17.3333333333333
4,5,260,1,"HG18351","IMG-0487.JPG","DSC-0837.JPG",0,1,"NC13-20227",121,123,10,4,6,10.5,405,107,129,13.69,32.25,0.424496124031008,635.2228333,25.9259259259259,40.5,17.8333333333333
4,14,293,1,"HG18407","IMG-0488.JPG",NA,1,0,"TX13D5191",118,NA,10,NA,6,20.4,582,107,NA,NA,NA,NA,1282.487,35.0515463917526,58.2,17.8333333333333
3,18,229,1,"HG18300","IMG-0489.JPG","DSC-0468.JPG",0,1,"NC07-21020",118,121,10,4,6,11.4,368,104,50,3.65,12.5,0.292,608.3823333,30.9782608695652,36.8,17.3333333333333
3,19,233,1,"HG18500","IMG-0490.JPG","DSC-0055.JPG",0,1,"VA09MAS2-131-6-2-4",116,119,10,4,6,12.1,366,95,97,6.96,24.25,0.287010309278351,588.2038333,33.0601092896175,36.6,15.8333333333333
3,16,222,1,"HG18530","IMG-0491.JPG",NA,1,1,"FLLA11116GS-3",120,NA,10,NA,6,17.8,509,129,NA,NA,NA,NA,1559.1155,34.9705304518664,50.9,21.5
3,15,220,1,"HG18244","IMG-0492.JPG",NA,1,1,"LA05145D-17",121,NA,10,NA,6,22.4,580,110,NA,NA,NA,NA,1410.077167,38.6206896551724,58,18.3333333333333
4,16,304,1,"HG18003","IMG-0493.JPG","DSC-0490.JPG",1,1,"AR00039-5-2",118,121,10,4,6,18,547,124,37,4.16,9.25,0.44972972972973,1268.165333,32.9067641681901,54.7,20.6666666666667
3,18,232,1,"HG18395","IMG-0494.JPG",NA,0,0,"TX12D4845",119,NA,10,NA,6,9.4,305,102,NA,NA,NA,NA,586.7893333,30.8196721311475,30.5,17
4,1,243,1,"Check","IMG-0495.JPG","DSC-0214.JPG",1,1,"Jamestown",116,119,10,4,6,13,345,107,127,9.96,31.75,0.313700787401575,783.396,37.6811594202899,34.5,17.8333333333333
5,2,328,1,"HG18012","IMG-0496.JPG",NA,1,1,"AR01039-4-1",119,NA,10,NA,6,15.2,480,132,NA,NA,NA,NA,947.3361667,31.6666666666667,48,22
5,7,345,1,"HG18400","IMG-0497.JPG","DSC-0108.JPG",1,1,"TX12D4927",116,120,10,4,6,21.5,601,115,90,12.05,22.5,0.535555555555556,1761.218,35.7737104825291,60.1,19.1666666666667
5,7,348,1,"HG18375","IMG-0498.JPG","DSC-0502.JPG",0,1,"SCLA1084A1",118,121,10,4,6,22.9,631,106,18,2.24,4.5,0.497777777777778,777.3913333,36.2916006339144,63.1,17.6666666666667
3,18,230,1,"HG18073","IMG-0499.JPG","DSC-0466.JPG",1,1,"ARGA04494-11E49",118,121,10,4,6,14.6,443,114,64,6.66,16,0.41625,918.0533333,32.9571106094808,44.3,19
4,3,250,1,"HG18027","IMG-0500.JPG","DSC-0482.JPG",1,1,"AR05055-1-1",117,121,10,4,6,13.3,378,118,29,3.38,7.25,0.466206896551724,1204.085167,35.1851851851852,37.8,19.6666666666667
3,18,231,1,"HG18297","IMG-0501.JPG","DSC-0114.JPG",0,0,"NC06-21245",118,120,10,4,6,10.4,399,94,75,7.18,18.75,0.382933333333333,448.1536667,26.0651629072682,39.9,15.6666666666667
4,2,245,1,"HG18145","IMG-0502.JPG",NA,0,1,"GA03564-9EE42",120,NA,10,NA,6,8.9,296,123,NA,NA,NA,NA,772.4986667,30.0675675675676,29.6,20.5
3,17,225,1,"HG18122","IMG-0503.JPG",NA,1,1,"GA011264-7E13",123,NA,9,NA,6,13.7,362,106,NA,NA,NA,NA,1367.646167,37.8453038674033,40.2222222222222,17.6666666666667
4,17,308,1,"HG18159","IMG-0504.JPG","DSC-0781.JPG",0,1,"GA051335-13E13",120,123,10,4,6,19,591,108,93,13.27,23.25,0.570752688172043,686.8466667,32.1489001692047,59.1,18
4,3,252,1,"HG18458","IMG-0505.JPG","DSC-0082.JPG",1,1,"VA12W-150",116,119,10,4,6,13.7,404,120,54,4.92,13.5,0.364444444444444,1140.820833,33.9108910891089,40.4,20
4,15,297,1,"HG18428","IMG-0507.JPG",NA,1,1,"TX14D8444",119,NA,10,NA,6,23.5,561,106,NA,NA,NA,NA,1762.917167,41.8894830659537,56.1,17.6666666666667
4,8,272,1,"HG18552","IMG-0508.JPG","DSC-0498.JPG",1,1,"LA09143C-39-3",117,121,10,4,6,16.3,413,111,21,1.71,5.25,0.325714285714286,1148.743833,39.4673123486683,41.3,18.5
4,2,248,1,"HG18198","IMG-0509.JPG","DSC-0477.JPG",1,1,"LA01034D-235-1-C",118,121,10,4,6,19,505,112,66,6.74,16.5,0.408484848484849,1172.0285,37.6237623762376,50.5,18.6666666666667
4,6,261,1,"HG18286","IMG-0510.JPG",NA,1,1,"NC05-20671",120,NA,10,NA,6,15.1,426,115,NA,NA,NA,NA,1260.4995,35.4460093896714,42.6,19.1666666666667
4,1,241,1,"Check","IMG-0511.JPG","DSC-0767.JPG",1,1,"AGS2055",121,123,10,4,6,18.5,469,110,93,15.36,23.25,0.660645161290323,988.7176667,39.4456289978678,46.9,18.3333333333333
4,4,254,1,"HG18498","IMG-0512.JPG","DSC-0115.JPG",0,1,"VA07MAS1-7047-1-1-4-2",116,120,10,4,6,10.4,311,111,95,7.52,23.75,0.316631578947368,637.4353333,33.4405144694534,31.1,18.5
3,20,237,1,"HG18240","IMG-0513.JPG",NA,1,1,"LA05079F-P01",119,NA,10,NA,6,15.5,447,111,NA,NA,NA,NA,1232.260167,34.675615212528,44.7,18.5
5,1,324,1,"Check","IMG-0514.JPG","DSC-0107.JPG",1,1,"Hilliard",117,120,10,4,6,22.2,553,110,81,10.92,20.25,0.539259259259259,1343.811833,40.1446654611212,55.3,18.3333333333333
4,19,313,1,"HG18504","IMG-0515.JPG","DSC-0496.JPG",1,1,"VA15W-94",118,121,10,4,6,11.1,376,103,32,3.7,8,0.4625,1184.535333,29.5212765957447,37.6,17.1666666666667
3,19,236,1,"HG18474","IMG-0516.JPG","DSC-0840.JPG",0,0,"DH11SRW065-26",121,123,10,4,6,14.3,496,108,164,22.37,41,0.545609756097561,665.0386667,28.8306451612903,49.6,18
3,15,219,1,"HG18131","IMG-0517.JPG",NA,1,1,"GA021338-9E4",120,NA,9,NA,6,16.5,436,113,NA,NA,NA,NA,1033.764167,37.8440366972477,48.4444444444444,18.8333333333333
4,4,255,1,"HG18001","IMG-0518.JPG","DSC-0484.JPG",1,1,"AGS2060",116,121,10,4,6,18.5,494,123,60,4.24,15,0.282666666666667,1176.962667,37.4493927125506,49.4,20.5
4,4,253,1,"HG18330","IMG-0519.JPG","DSC-0483.JPG",0,1,"NC10-25196",117,121,10,4,6,12.6,461,115,48,5.34,12,0.445,635.1676667,27.3318872017354,46.1,19.1666666666667
4,8,269,1,"HG18485","IMG-0520.JPG",NA,1,1,"GA081446-15E47",119,NA,11,NA,6,18.7,580,107,NA,NA,NA,NA,799.2278333,32.2413793103448,52.7272727272727,17.8333333333333
3,20,239,1,"HG18088","IMG-0521.JPG","DSC-0060.JPG",1,1,"DH11SRW070-14",116,119,10,4,6,16,468,99,96,9.4,24,0.391666666666667,656.1608333,34.1880341880342,46.8,16.5
4,1,242,1,"Check","IMG-0522.JPG","DSC-0770.JPG",0,1,"SS8641",122,123,10,4,6,15,466,102,80,11.02,20,0.551,515.5978333,32.1888412017167,46.6,17
3,19,235,1,"HG18378","IMG-0523.JPG","DSC-0071.JPG",0,1,"SCTX98-17A1",118,119,10,4,6,13.2,415,115,110,11.86,27.5,0.431272727272727,711.4595,31.8072289156626,41.5,19.1666666666667
5,2,326,1,"HG18201","IMG-0524.JPG",NA,0,1,"LA01059D-127-3-2",NA,NA,10,NA,6,20.8,545,104,NA,NA,NA,NA,796.5635,38.1651376146789,54.5,17.3333333333333
3,20,240,1,"HG18234","IMG-0525.JPG","DSC-0360.JPG",1,1,"LA04041D-10",118,121,10,4,6,12.6,368,97,37,3.96,9.25,0.428108108108108,1159.411167,34.2391304347826,36.8,16.1666666666667
3,17,228,1,"HG18202","IMG-0526.JPG","DSC-0323.JPG",1,1,"LA01069D-23-4-4",117,121,11,4,6,14.6,468,104,60,6.62,15,0.441333333333333,880.9366667,31.1965811965812,42.5454545454545,17.3333333333333
3,20,238,1,"HG18157","IMG-0527.JPG","DSC-0467.JPG",0,1,"GA051207-14E53",118,121,10,4,6,15.2,378,91,37,4.19,9.25,0.452972972972973,640.6271667,40.2116402116402,37.8,15.1666666666667
4,20,320,1,"HG18545","IMG-0528.JPG",NA,1,1,"GA09377-16LE18",NA,NA,NA,NA,6,NA,NA,97,NA,NA,NA,NA,1290.001833,NA,NA,16.1666666666667
3,16,221,1,"HG18250","IMG-0529.JPG","DSC-0355.JPG",1,1,"LA06069E-P01",118,121,10,4,6,18.9,526,101,33,2.23,8.25,0.27030303030303,1054.440167,35.9315589353612,52.6,16.8333333333333
3,19,234,1,"HG18260","IMG-0530.JPG","DSC-0550.JPG",1,1,"LA08095C-37",118,121,10,4,6,11.4,345,112,20,1.92,5,0.384,872.738,33.0434782608696,34.5,18.6666666666667
4,3,249,1,"HG18254","IMG-0531.JPG","DSC-0081.JPG",1,1,"LA07085CW-P4",116,119,9,4,6,12.2,343,119,79,3.61,19.75,0.182784810126582,1211.947167,35.5685131195335,38.1111111111111,19.8333333333333
4,2,247,1,"HG18434","IMG-0532.JPG",NA,1,1,"VA07MAS3-7304-3-1-2-3",116,119,10,NA,6,12.2,367,98,NA,NA,NA,NA,649.1005,33.2425068119891,36.7,16.3333333333333
4,5,257,1,"HG18100","IMG-0533.JPG","DSC-0836.JPG",0,0,"FLLA09154C-17",120,123,10,4,6,11.1,403,106,165,19.3,41.25,0.467878787878788,681.0871667,27.5434243176179,40.3,17.6666666666667
4,20,318,1,"HG18578","IMG-0534.JPG",NA,1,1,"NC14-23373",120,NA,10,NA,6,14.9,416,113,NA,NA,NA,NA,1623.278333,35.8173076923077,41.6,18.8333333333333
4,13,290,1,"HG18570","IMG-0535.JPG","DSC-0493.JPG",0,1,"NC14-20373",117,121,10,4,6,13.8,449,108,52,5.35,13,0.411538461538462,612.3121667,30.7349665924276,44.9,18
4,17,306,1,"HG18107","IMG-0536.JPG","DSC-0491.JPG",1,1,"FLLW08184D-1",118,121,8,5,6,11.2,423,116,19,1.6,3.8,0.421052631578947,1311.044,26.4775413711584,52.875,19.3333333333333
4,16,301,1,"HG18377","IMG-0548.JPG",NA,1,1,"SCLA99049D-E1-J1",123,NA,10,NA,6,24.4,586,127,NA,NA,NA,NA,1718.253167,41.6382252559727,58.6,21.1666666666667
4,9,276,1,"HG18506","IMG-0549.JPG",NA,1,1,"AR08087-11-1",121,NA,10,NA,6,20.9,548,121,NA,NA,NA,NA,1011.151333,38.1386861313869,54.8,20.1666666666667
4,6,264,1,"HG18060","IMG-0550.JPG",NA,0,1,"AR99033-5-1",123,NA,10,NA,6,12,379,126,NA,NA,NA,NA,690.1285,31.6622691292876,37.9,21
4,13,291,1,"HG18305","IMG-0551.JPG","DSC-0089.JPG",0,1,"NC07-24337",116,119,11,4,6,11.1,331,81,122,11.29,30.5,0.370163934426229,527.313,33.5347432024169,30.0909090909091,13.5
3,14,215,1,"HG18374","IMG-0552.JPG",NA,1,1,"SCLA1030J1",121,NA,9,NA,6,14.1,375,105,NA,NA,NA,NA,913.8156667,37.6,41.6666666666667,17.5
4,13,292,1,"HG18289","IMG-0553.JPG","DSC-0486.JPG",0,1,"NC05-22804",118,121,10,4,6,12.4,396,98,45,3.51,11.25,0.312,577.2703333,31.3131313131313,39.6,16.3333333333333
4,9,275,1,"HG18575","IMG-0554.JPG","DSC-0485.JPG",0,1,"NC14-22368",118,121,10,4,6,15.5,385,116,42,3.15,10.5,0.3,767.16,40.2597402597403,38.5,19.3333333333333
