"Tray","Range","Plot","Rep","Entry","Spike_image_number","Anther_image_number","Awn_or_awnless","Reps_matching","Variety","Days_to_heading","Date_of_anther_sampling","Number_of_heads_for_yield_comps","Number_of_heads_for_anthers","Number_of_heads_for_spikelets","Weight_g","Number_of_seeds","Spikelets_per_image","Number_of_anthers","Area_of_anthers_per_spike","Number_of_anthers_per_spike","Area_per_anther","Area_per_spike","Thousand_kernel_weight","Kernels_per_spike","Spikelets_per_spike"
2,8,110,1,"HG18535","IMG-0220.JPG","DSC-0847.JPG",1,1,"GA071107-16E2",121,123,10,4,6,22.4,565,111,54,7.78,13.5,0.576296296296296,957.2418333,39.646017699115,56.5,18.5
2,11,121,1,"HG18229","IMG-0221.JPG","DSC-0065.JPG",0,1,"LA03155D-P13",116,119,10,4,6,21.5,495,115,90,11.42,22.5,0.507555555555556,795.8806667,43.4343434343434,49.5,19.1666666666667
3,3,172,1,"HG18376","IMG-0222.JPG",NA,1,1,"SCLA1102G1",119,NA,10,NA,6,23.8,595,116,NA,NA,NA,NA,969.8291667,40,59.5,19.3333333333333
3,6,183,1,"HG18155","IMG-0223.JPG","DSC-0339.JPG",1,1,"GA04570-10E46",117,121,10,4,6,21.3,542,120,51,7.44,12.75,0.583529411764706,839.693,39.2988929889299,54.2,20
2,6,103,1,"HG18143","IMG-0224.JPG","DSC-0846.JPG",1,1,"GA03564-10E25",120,123,10,4,6,21.5,587,115,64,9.78,16,0.61125,982.3091667,36.6269165247019,58.7,19.1666666666667
2,15,139,1,"HG18583","IMG-0225.JPG","DSC-0069.JPG",1,1,"TX15D9377",116,119,10,4,6,16.4,491,126,59,7.07,14.75,0.479322033898305,1133.0335,33.4012219959267,49.1,21
2,18,150,1,"HG18398","IMG-0226.JPG","DSC-0857.JPG",1,1,"TX12D4896",120,123,10,4,6,19.6,429,106,47,5.79,11.75,0.492765957446809,1262.885,45.6876456876457,42.9,17.6666666666667
2,18,152,1,"HG18031","IMG-0227.JPG","DSC-0073.JPG",1,0,"AR05080-6-1",116,119,10,4,6,18.2,416,107,48,6.3,12,0.525,800.5501667,43.75,41.6,17.8333333333333
2,17,147,1,"HG18007","IMG-0228.JPG","DSC-0858.JPG",1,1,"AR00134-3-4",120,123,10,4,6,23,569,108,66,9.2,16.5,0.557575757575758,1078.394,40.4217926186292,56.9,18
2,17,145,1,"HG18472","IMG-0229.JPG","DSC-0072.JPG",1,1,"ARS14W0857",116,119,10,4,6,19.5,458,112,76,8.08,19,0.425263157894737,1435.219167,42.5764192139738,45.8,18.6666666666667
2,13,129,1,"HG18284","IMG-0230.JPG","DSC-0356.JPG",0,1,"NC05-19896",118,121,10,4,6,15.5,465,103,96,13.33,24,0.555416666666667,723.6423333,33.3333333333333,46.5,17.1666666666667
3,13,210,1,"HG18219","IMG-0231.JPG","DSC-0119.JPG",0,1,"LA01172D-27-5-4",118,120,10,4,6,20.3,586,117,108,11.75,27,0.435185185185185,743.9475,34.641638225256,58.6,19.5
2,10,118,1,"HG18543","IMG-0232.JPG",NA,1,1,"GA09241-16E23",119,NA,10,NA,6,19.2,462,105,NA,NA,NA,NA,890.1328333,41.5584415584416,46.2,17.5
2,6,102,1,"HG18502","IMG-0233.JPG","DSC-0117.JPG",1,1,"VA09MAS6-122-7-1-4",116,120,8,4,6,11.6,310,102,106,4.8,26.5,0.181132075471698,1051.202,37.4193548387097,38.75,17
2,19,156,1,"HG18249","IMG-0234.JPG",NA,1,1,"LA06052E-P07",118,NA,9,NA,6,14.1,419,119,NA,NA,NA,NA,1231.629,33.6515513126492,46.5555555555556,19.8333333333333
3,8,191,1,"HG18032","IMG-0235.JPG","DSC-0760.JPG",1,1,"AR05085-1-1",120,123,11,4,6,25.1,554,120,82,6.93,20.5,0.338048780487805,1133.344833,45.3068592057762,50.3636363636364,20
2,12,125,1,"HG18301","IMG-0236.JPG","DSC-0075.JPG",0,1,"NC07-21172",116,119,10,4,6,16.9,508,117,158,17.68,39.5,0.447594936708861,758.3938333,33.2677165354331,50.8,19.5
2,15,138,1,"HG18064","IMG-0237.JPG","DSC-0369.JPG",1,1,"AR99110-11-2",117,121,10,4,6,22.4,635,123,68,7.15,17,0.420588235294118,918.007,35.2755905511811,63.5,20.5
